s,personLabel,paper,roleLabel,event,listAffiliation
person:kostis-kyzirakos,Kostis Kyzirakos,iswc2012:paper/poster-demo-28,,,National and Kapodistrian University of Athens
person:kostis-kyzirakos,Kostis Kyzirakos,iswc2012:paper/research-25,,,National and Kapodistrian University of Athens
person:kostis-kyzirakos,Kostis Kyzirakos,iswc2012:paper/semantic-web-challenge-open-17,,,National and Kapodistrian University of Athens
person:kostyantyn-shchekotykhin,Kostyantyn Shchekotykhin,iswc2012:paper/poster-demo-45,,,UNI Klagenfurt
person:kostyantyn-shchekotykhin,Kostyantyn Shchekotykhin,iswc2012:paper/poster-demo-64,,,UNI Klagenfurt
person:kouji-kozaki,Kouji Kozaki,iswc2012:paper/poster-demo-51,,,Osaka University
person:krishnaprasad-thirunarayan,Krishnaprasad Thirunarayan,iswc2012:paper/research-26,,,"Kno.e.sis Center, Wright State University"
person:krishnaprasad-thirunarayan,Krishnaprasad Thirunarayan,iswc2012:paper/semantic-web-challenge-open-02,,,"Kno.e.sis Center, Wright State University"
person:kristian-slabbekoorn,Kristian Slabbekoorn,iswc2012:paper/research-30,,,Tokyo Institute of Technology
person:krzysztof-janowicz,Krzysztof Janowicz,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,UC Santa Barbara
person:krzysztof-janowicz,Krzysztof Janowicz,,PC Member at ISWC2012(Research Track),iswc2012:track/research,UC Santa Barbara
person:krzysztof-janowicz,Krzysztof Janowicz,,Workshop Chair,workshop:sw2022/2012,UC Santa Barbara
person:lalana-kagal,Lalana Kagal,,ISWC2012 Local Chair,http://data.semanticweb.org/conference/iswc/2012,MIT
person:lalana-kagal,Lalana Kagal,,Senior PC Member at ISWC2012(Research Track),iswc2012:track/research,MIT
person:laszlo-torok,Laszlo Török,,Tutorial Organizer,iswc2012:tutorial-5,University of Mynuch
person:laura-hollink,Laura Hollink,,Workshop Chair,workshop:derive/2012,VU Amsterdam
person:laura-hollink,Laura Hollink,iswc2012:paper/research-30,,,VU Amsterdam
person:laurens-de-vocht,Laurens De Vocht,iswc2012:paper/poster-demo-10,,,Ghent University
person:laurens-rietveld,Laurens Rietveld,iswc2012:paper/doctor-consortium-06,,,VU Amsterdam
person:leigh-dodds,Leigh Dodds,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,Ingenta
person:leora-morgenstern,Leora Morgenstern,,Tutorial Organizer,iswc2012:tutorial-6,SAIC
person:letizia-tanca,Letizia Tanca,,PC Member at ISWC2012(Research Track),iswc2012:track/research,Politecnico di Milano
person:li-ding,Li Ding,,ISWC2012 Metadata Chair,http://data.semanticweb.org/conference/iswc/2012,Qualcomm
person:li-ding,Li Ding,,PC Member at ISWC2012(Research Track),iswc2012:track/research,Qualcomm
person:li-tian,Li Tian,iswc2012:paper/poster-demo-27,,,Shanghai Jiao Tong University
person:lin-clark,Lin Clark,,PC Member at ISWC2012(Industry Track),iswc2012:track/industry,"DERI, NUI Galway"
person:lin-clark,Lin Clark,,PC Member at ISWC2012(Research Track),iswc2012:track/research,"DERI, NUI Galway"
person:lin-clark,Lin Clark,,PC Member at ISWC2012,iswc2012:track/semantic-web-challenge,"DERI, NUI Galway"
person:lina-zhou,Lina Zhou,,PC Member at ISWC2012(Research Track),iswc2012:track/research,University of Maryland Baltimore County
person:line-pouchard,Line Pouchard,,Workshop Chair,workshop:lisc/2012,Oak Ridge National Laboratory
person:ljiljana-stojanovic,Ljiljana Stojanovic,,Tutorial Organizer,iswc2012:tutorial-8,FZI Research Center for Information Technology
person:ljiljana-stojanovic,Ljiljana Stojanovic,iswc2012:paper/poster-demo-18,,,FZI Research Center for Information Technology
person:lora-aroyo,Lora Aroyo,,Senior PC Member at ISWC2012(Research Track),iswc2012:track/research,VU Amsterdam
person:lora-aroyo,Lora Aroyo,iswc2012:paper/inuse-26,,,VU Amsterdam
person:lorenz-buhmann,Lorenz Bühmann,iswc2012:paper/inuse-51,,,University of Leipzig
person:lorenz-buhmann,Lorenz Bühmann,iswc2012:paper/inuse-71,,,University of Leipzig
person:louiqa-raschid,Louiqa Raschid,iswc2012:paper/poster-demo-43,,,University of Maryland
person:luc-moreau,Luc Moreau,,PC Member at ISWC2012(Research Track),iswc2012:track/research,University of Southampton
person:luc-moreau,Luc Moreau,,Tutorial Organizer,iswc2012:tutorial-7,University of Southampton
person:luciano-serafini,Luciano Serafini,,PC Member at ISWC2012(Research Track),iswc2012:track/research,Fondazione Bruno Kessler
person:luciano-serafini,Luciano Serafini,iswc2012:paper/research-19,,,Fondazione Bruno Kessler
person:luciano-serafini,Luciano Serafini,iswc2012:paper/research-29,,,Fondazione Bruno Kessler
person:lyndon-j-b-nixon,Lyndon Nixon,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,STI International
person:maciej-zaremba,Maciej Zaremba,iswc2012:paper/research-08,,,"DERI, NUI Galway"
person:magnus-knuth,Magnus Knuth,iswc2012:paper/evaluation-37,,,Hasso Plattner Institute
person:magnus-white,Magnus White,iswc2012:paper/semantic-web-challenge-open-15,,,University of Southampton
person:makoto-nakatsuji,Makoto Nakatsuji,iswc2012:paper/research-09,,,NTT
person:manfred-hauswirth,Manfred Hauswirth,,ISWC2012 Evaluation Chair,http://data.semanticweb.org/conference/iswc/2012,"DERI, NUI Galway"
person:manfred-hauswirth,Manfred Hauswirth,,ISWC2012 Session Chair,iswc2012:session/evaluation-01,"DERI, NUI Galway"
person:manfred-hauswirth,Manfred Hauswirth,,ISWC2012 Evaluation Chair,iswc2012:track/evaluation,"DERI, NUI Galway"
person:manfred-hauswirth,Manfred Hauswirth,,PC Member at ISWC2012(Evaluation Track),iswc2012:track/evaluation,"DERI, NUI Galway"
person:manfred-hauswirth,Manfred Hauswirth,,Workshop Chair,workshop:ssn/2012,"DERI, NUI Galway"
person:manfred-hauswirth,Manfred Hauswirth,iswc2012:paper/semantic-web-challenge-open-16,,,"DERI, NUI Galway"
person:manfred-hauswirth,Manfred Hauswirth,iswc2012:proceedings,,,"DERI, NUI Galway"
person:manolis-koubarakis,Manolis Koubarakis,,PC Member at ISWC2012(Evaluation Track),iswc2012:track/evaluation,National and Kapodistrian University of Athens
person:manolis-koubarakis,Manolis Koubarakis,,Senior PC Member at ISWC2012(Research Track),iswc2012:track/research,National and Kapodistrian University of Athens
person:manolis-koubarakis,Manolis Koubarakis,,Workshop Chair,workshop:terra/2012,National and Kapodistrian University of Athens
person:manolis-koubarakis,Manolis Koubarakis,iswc2012:paper/poster-demo-28,,,National and Kapodistrian University of Athens
person:manolis-koubarakis,Manolis Koubarakis,iswc2012:paper/research-25,,,National and Kapodistrian University of Athens
person:manolis-koubarakis,Manolis Koubarakis,iswc2012:paper/semantic-web-challenge-open-17,,,National and Kapodistrian University of Athens
person:manos-karpathiotakis,Manos Karpathiotakis,iswc2012:paper/poster-demo-28,,,National and Kapodistrian University of Athens
person:manos-karpathiotakis,Manos Karpathiotakis,iswc2012:paper/research-25,,,National and Kapodistrian University of Athens
person:manos-karpathiotakis,Manos Karpathiotakis,iswc2012:paper/semantic-web-challenge-open-17,,,National and Kapodistrian University of Athens
person:manuel-atencia,Manuel Atencia,iswc2012:paper/research-29,,,INRIA & University of Grenoble
person:manuel-salvadores,Manuel Salvadores,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,Stanford University
person:manuel-salvadores,Manuel Salvadores,,PC Member at ISWC2012(Research Track),iswc2012:track/research,Stanford University
person:manuel-salvadores,Manuel Salvadores,iswc2012:paper/inuse-53,,,Stanford University
person:marcel-karnstedt,Marcel Karnstedt,iswc2012:paper/research-12,,,"DERI, NUI Galway"
person:marco-balduini,Marco Balduini,iswc2012:paper/semantic-web-challenge-open-19,,,Politecnico di Milano
person:marco-de-gemmis,Marco de Gemmis,,Workshop Chair,workshop:sersy/2012,University of Bari
person:marco-luca-sbodio,Marco Luca Sbodio,iswc2012:paper/inuse-39,,,IBM Research
person:marco-luca-sbodio,Marco Luca Sbodio,iswc2012:paper/inuse-58,,,IBM Research
person:marco-luca-sbodio,Marco Luca Sbodio,iswc2012:paper/poster-demo-47,,,IBM Research
person:marco-luca-sbodio,Marco Luca Sbodio,iswc2012:paper/semantic-web-challenge-open-18,,,IBM Research
person:marco-rospocher,Marco Rospocher,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,Fondazione Bruno Kessler
person:marco-ruzzi,Marco Ruzzi,iswc2012:paper/evaluation-41,,,Sapienza Università di Roma
person:mari-carmen-suarez-figueroa,Mari Carmen Suárez-Figueroa,,Workshop Chair,workshop:wop/2012,Universidad Politecnica de Madrid
person:maria-esther-vidal,Maria-Esther Vidal,,ISWC2012 Session Chair,iswc2012:session/research-04,Universidad Simon Bolivar
person:maria-esther-vidal,Maria-Esther Vidal,,PC Member at ISWC2012(Evaluation Track),iswc2012:track/evaluation,Universidad Simon Bolivar
person:maria-esther-vidal,Maria-Esther Vidal,,PC Member at ISWC2012(Poster and Demo),iswc2012:track/poster-demo,Universidad Simon Bolivar
person:maria-esther-vidal,Maria-Esther Vidal,,PC Member at ISWC2012(Research Track),iswc2012:track/research,Universidad Simon Bolivar
person:maria-esther-vidal,Maria-Esther Vidal,iswc2012:paper/evaluation-27,,,Universidad Simon Bolivar
person:maria-esther-vidal,Maria-Esther Vidal,iswc2012:paper/poster-demo-43,,,Universidad Simon Bolivar
person:mariano-rodriguez-muro,Mariano Rodriguez-Muro,iswc2012:paper/poster-demo-59,,,Free University of Bozen-Bolzano
person:marie-christine-rousset,Marie-Christine Rousset,,PC Member at ISWC2012(Research Track),iswc2012:track/research,University of Grenoble
person:marieke-van-erp,Marieke Van Erp,,Workshop Chair,workshop:derive/2012,VU Amsterdam
person:mark-a-musen,Mark A. Musen,iswc2012:paper/inuse-53,,,Stanford University
person:mark-a-musen,Mark A. Musen,iswc2012:paper/keynote-3,,,Stanford University
person:mark-greaves,Mark Greaves,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,Vulcan Inc
person:mark-wilkinson,Mark Wilkinson,,Workshop Chair,workshop:satbi-swim/2012,Bioinformatics at Centre for Plant Biotechnology and Genomics UPM-INIA
person:markus-kroetzsch,Markus Krötzsch,,PC Member at ISWC2012(Research Track),iswc2012:track/research,University of Oxford
person:markus-kroetzsch,Markus Krötzsch,iswc2012:paper/research-04,,,University of Oxford
person:markus-luczak-rosch,Markus Luczak-Rösch,iswc2012:paper/research-07,,,Free University of Berlin
person:markus-strohmaier,Markus Strohmaier,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,Graz University of Technology
person:marta-corubolo,Marta Corubolo,iswc2012:paper/inuse-78,,,Politecnico di Milano
person:marta-corubolo,Marta Corubolo,iswc2012:paper/semantic-web-challenge-open-13,,,Politecnico di Milano
person:marta-sabou,Marta Sabou,,PC Member at ISWC2012(Evaluation Track),iswc2012:track/evaluation,MODUL University Vienna
person:marta-sabou,Marta Sabou,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,MODUL University Vienna
person:marta-sabou,Marta Sabou,,PC Member at ISWC2012(Research Track),iswc2012:track/research,MODUL University Vienna
person:martin-hepp,Martin Hepp,,PC Member at ISWC2012(Research Track),iswc2012:track/research,Bundeswehr University Munich
person:martin-hepp,Martin Hepp,,Tutorial Organizer,iswc2012:tutorial-5,Bundeswehr University Munich
person:martin-serrano,Martin Serrano,iswc2012:paper/semantic-web-challenge-open-16,,,"DERI, NUI Galway"
person:martin-stephenson,Martin Stephenson,iswc2012:paper/inuse-39,,,IBM Research
person:martin-stephenson,Martin Stephenson,iswc2012:paper/semantic-web-challenge-open-18,,,IBM Research
person:martin-theobald,Martin Theobald,,PC Member at ISWC2012(Evaluation Track),iswc2012:track/evaluation,Max Planck Institute for Informatics
person:massimo-paolucci,Massimo Paolucci,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,DoCoMo Euro labs
person:mathias-brochhausen,Mathias Brochhausen,iswc2012:paper/poster-demo-48,,,UAMS
person:mathieu-daquin,Mathieu d'Aquin,,ISWC2012 Session Chair,iswc2012:session/research-08,"KMi, The Open University"
person:mathieu-daquin,Mathieu d'Aquin,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,"KMi, The Open University"
person:mathieu-daquin,Mathieu d'Aquin,,PC Member at ISWC2012(Poster and Demo),iswc2012:track/poster-demo,"KMi, The Open University"
person:mathieu-daquin,Mathieu d'Aquin,,PC Member at ISWC2012(Research Track),iswc2012:track/research,"KMi, The Open University"
person:mathieu-daquin,Mathieu d'Aquin,iswc2012:paper/industry-08,,,"KMi, The Open University"
person:mathieu-daquin,Mathieu d'Aquin,iswc2012:paper/poster-demo-20,,,"KMi, The Open University"
person:matthew-horridge,Matthew Horridge,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,Stanford University
person:matthew-horridge,Matthew Horridge,,PC Member at ISWC2012(Poster and Demo),iswc2012:track/poster-demo,Stanford University
person:matthew-horridge,Matthew Horridge,,PC Member at ISWC2012(Research Track),iswc2012:track/research,Stanford University
person:matthew-horridge,Matthew Horridge,iswc2012:paper/evaluation-35,,,Stanford University
person:matthew-horridge,Matthew Horridge,iswc2012:paper/inuse-53,,,Stanford University
person:matthew-perry,Matthew Perry,,Workshop Chair,workshop:terra/2012,Oracle
person:matthew-perry,Matthew Perry,iswc2012:paper/industry-07,,,Oracle
person:matthew-rowe,Matthew Rowe,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,"KMi, The Open University"
person:matthew-rowe,Matthew Rowe,iswc2012:paper/research-14,,,"KMi, The Open University"
person:matthias-klusch,Matthias Klusch,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,DFKI
person:matthias-nickles,Matthias Nickles,,Workshop Chair,workshop:ursw/2012,Technical University of Munich
person:matthias-thimm,Matthias Thimm,iswc2012:paper/research-32,,,University of Koblenz and Landau
person:maximilian-nickel,Maximilian Nickel,,Tutorial Organizer,iswc2012:tutorial-3,Ludwig Maximilians University of Munich
person:michael-benedikt,Michael Benedikt,,PC Member at ISWC2012(Research Track),iswc2012:track/research,University of Oxford
person:michael-fink,Michael Fink,iswc2012:paper/evaluation-10,,,Vienna University of Technology
person:michael-gruninger,Michael Gruninger,,PC Member at ISWC2012(Research Track),iswc2012:track/research,University of Toronto
person:michael-hausenblas,Michael Hausenblas,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,"DERI, NUI Galway"
person:michael-hausenblas,Michael Hausenblas,,PC Member at ISWC2012(Poster and Demo),iswc2012:track/poster-demo,"DERI, NUI Galway"
person:michael-hausenblas,Michael Hausenblas,,PC Member at ISWC2012(Research Track),iswc2012:track/research,"DERI, NUI Galway"
person:michael-hausenblas,Michael Hausenblas,iswc2012:paper/inuse-51,,,"DERI, NUI Galway"
person:michael-kifer,Michael Kifer,,Tutorial Organizer,iswc2012:tutorial-2,Stony Brook University
person:michael-martin,Michael Martin,iswc2012:paper/inuse-51,,,University of Leipzig
person:michael-schmidt,Michael Schmidt,iswc2012:paper/industry-04,,,fluid Operations
person:michael-schumacher,Michael Schumacher,iswc2012:paper/industry-10,,,University of Applied Sciences Western Switzerland
person:michael-sintek,Michael Sintek,,PC Member at ISWC2012(Research Track),iswc2012:track/research,DFKI
person:michael-sioutis,Michael Sioutis,iswc2012:paper/poster-demo-28,,,National and Kapodistrian University of Athens
person:michael-ward,Michael Ward,iswc2012:paper/research-23,,,IBM Research
person:michael-watzke,Michael Watzke,iswc2012:paper/inuse-09,,,"Siemens AG, Corporate Technology"
person:michiel-hildebrand,Michiel Hildebrand,,PC Member at ISWC2012(Research Track),iswc2012:track/research,VU Amsterdam
person:miel-vander-sande,Miel Vander Sande,iswc2012:paper/poster-demo-10,,,Ghent University
person:mike-dean,Mike Dean,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,Raytheon BBN Technologies
person:mike-dean,Mike Dean,,PC Member at ISWC2012(Research Track),iswc2012:track/research,Raytheon BBN Technologies
person:mike-dean,Mike Dean,,Tutorial Organizer,iswc2012:tutorial-2,Raytheon BBN Technologies
person:mike-dean,Mike Dean,,Workshop Chair,workshop:lhd-semquant/2012,Raytheon BBN Technologies
person:mike-stonebreaker,Mike Stonebreaker,,ISWC2012 Panellist,iswc2012:panel/big-graph-data,MIT
person:mike-uschold,Michael Uschold,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,Reinvent Technology
person:mike-wald,Mike Wald,iswc2012:paper/semantic-web-challenge-open-15,,,University of Southampton
person:mikko-rinne,Mikko Rinne,iswc2012:paper/doctor-consortium-13,,,Aalto University
person:mikko-rinne,Mikko Rinne,iswc2012:paper/poster-demo-22,,,Aalto University
person:milan-dojchinovski,Milan Dojchinovski,iswc2012:paper/research-08,,,Czech Technical University in Prague
person:milan-stankovic,Milan Stankovic,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,Hypios
person:milan-stankovic,Milan Stankovic,iswc2012:paper/research-14,,,Hypios
person:ming-mao,Ming Mao,,Workshop Chair,workshop:om/2012,SAP Labs USA
person:minh-dao-tran,Minh Dao-Tran,iswc2012:paper/evaluation-10,,,Vienna University of Technology
person:minh-duc-pham,Minh-Duc Pham,iswc2012:paper/evaluation-10,,,Centrum Wiskunde & Informatica (CWI)
person:minh-duc-pham,Minh-Duc Pham,iswc2012:paper/research-27,,,Centrum Wiskunde & Informatica (CWI)
person:miriam-fernandez,Miriam Fernandez,,PC Member at ISWC2012(Poster and Demo),iswc2012:track/poster-demo,"KMi, The Open University"
person:miriam-fernandez,Miriam Fernandez,,PC Member at ISWC2012(Research Track),iswc2012:track/research,"KMi, The Open University"
person:mirko-graziosi,Mirko Graziosi,iswc2012:paper/evaluation-41,,,Sapienza Università di Roma
person:mohamed-morsey,Mohamed Morsey,iswc2012:paper/research-21,,,University of Leipzig
person:mohsen-taheriyan,Mohsen Taheriyan,iswc2012:paper/research-02,,,"Information Sciences Institute, University of Southern California"
person:monika-solanki,Monika Solanki,iswc2012:paper/semantic-web-challenge-open-04,,,Birmingham City University
person:montiago-labute,Montiago Labute,iswc2012:paper/industry-02,,,YarcData
person:mounir-mokhtari,Mounir Mokhtari,iswc2012:paper/inuse-10,,,"Image & Pervasive Access Lab (IPAL), UMI CNRS"
person:murat-kantarcioglu,Murat Kantarcioglu,iswc2012:paper/poster-demo-14,,,University of Texas at Dallas
person:myunggwon-hwang,Myunggwon Hwang,iswc2012:paper/semantic-web-challenge-open-07,,,Korea Institute of Science and Technology Information
person:nadeschda-nikitina,Nadeschda Nikitina,,PC Member at ISWC2012(Poster and Demo),iswc2012:track/poster-demo,"AIFB, Karlsruhe Institute of Technology"
person:nadeschda-nikitina,Nadeschda Nikitina,iswc2012:paper/research-34,,,"AIFB, Karlsruhe Institute of Technology"
person:naimdjon-takhirov,Naimdjon Takhirov,iswc2012:paper/research-37,,,Norwegian University of Science and Technology
person:naoki-fukuta,Naoki Fukuta,iswc2012:paper/poster-demo-57,,,Shizuoka University
person:natalya-noy,Natasha F. Noy,,ISWC2012 Session Chair,iswc2012:session/inuse-05,Stanford University
person:natalya-noy,Natasha F. Noy,,ISWC2012 Session Chair,iswc2012:session/research-03,Stanford University
person:natalya-noy,Natasha F. Noy,,PC Member at ISWC2012(Doctoral Consortium),iswc2012:track/doctoral-consortium,Stanford University
person:natalya-noy,Natasha F. Noy,,PC Member at ISWC2012(Industry Track),iswc2012:track/industry,Stanford University
person:natalya-noy,Natasha F. Noy,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,Stanford University
person:natalya-noy,Natasha F. Noy,,Senior PC Member at ISWC2012(Research Track),iswc2012:track/research,Stanford University
person:natalya-noy,Natasha F. Noy,,PC Member at ISWC2012,iswc2012:track/semantic-web-challenge,Stanford University
person:natalya-noy,Natasha F. Noy,,Workshop Chair,workshop:om/2012,Stanford University
person:natalya-noy,Natasha F. Noy,iswc2012:paper/inuse-53,,,Stanford University
person:natalya-noy,Natasha F. Noy,iswc2012:paper/research-41,,,Stanford University
person:nathan-wilson,Nathan Wilson,iswc2012:paper/poster-demo-42,,,Marine Biological Laboratory
person:nenad-stojanovic,Nenad Stojanovic,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,FZI Research Center for Information Technology
person:nenad-stojanovic,Nenad Stojanovic,,PC Member at ISWC2012(Poster and Demo),iswc2012:track/poster-demo,FZI Research Center for Information Technology
person:nenad-stojanovic,Nenad Stojanovic,,Tutorial Organizer,iswc2012:tutorial-8,FZI Research Center for Information Technology
person:nenad-stojanovic,Nenad Stojanovic,iswc2012:paper/poster-demo-18,,,FZI Research Center for Information Technology
person:nick-bassiliades,Nick Bassiliades,iswc2012:paper/semantic-web-challenge-open-08,,,Aristotle University of Thessaloniki
person:nicola-fanizzi,Nicola Fanizzi,,Workshop Chair,workshop:ursw/2012,University of Bari
person:nicola-guarino,Nicola Guarino,,PC Member at ISWC2012(Research Track),iswc2012:track/research,ISTC-CNR
person:nigam-shah,Nigam Shah,,Workshop Chair,workshop:satbi-swim/2012,Stanford University
person:nigel-r-shadbolt,Nigel Shadbolt,,ISWC2012 Keynote Speaker,iswc2012:special/dinner-talk,University of Southampton
person:nitish-aggarwal,Nitish Aggarwal,iswc2012:paper/doctor-consortium-01,,,"DERI, NUI Galway"
person:norman-heino,Norman Heino,iswc2012:paper/research-33,,,University of Leipzig
person:oktie-hassanzadeh,Oktie Hassanzadeh,iswc2012:paper/research-23,,,IBM Research
person:olaf-gorlitz,Olaf Görlitz,iswc2012:paper/research-32,,,University of Koblenz and Landau
person:olaf-hartig,Olaf Hartig,,Workshop Chair,workshop:cold/2012,Humboldt University of Berlin
person:oleg-ruchayskiy,Oleg Ruchayskiy,iswc2012:paper/evaluation-17,,,CERN
person:olivier-bodenreider,Olivier Bodenreider,iswc2012:paper/semantic-web-challenge-open-02,,,National Library of Medicine
person:olivier-cure,Olivier Curé,iswc2012:paper/semantic-web-challenge-open-11,,,Université Paris-Est LIGM
person:ondrej-svab,Ondrej Svab-Zamazal,,PC Member at ISWC2012(Evaluation Track),iswc2012:track/evaluation,"University of Economics, Prague"
person:opher-etzion,Opher Etzion,,Tutorial Organizer,iswc2012:tutorial-8,"IBM Research Lab , Haifa, Israel"
person:ora-lassila,Ora Lassila,,PC Member at ISWC2012(Industry Track),iswc2012:track/industry,Nokia Services
person:ora-lassila,Ora Lassila,,PC Member at ISWC2012,iswc2012:track/semantic-web-challenge,Nokia Services
person:orri-erling,Orri Erling,iswc2012:paper/inuse-51,,,OpenLink
person:oscar-corcho,Oscar Corcho,,PC Member at ISWC2012(Doctoral Consortium),iswc2012:track/doctoral-consortium,Universidad Politecnica de Madrid
person:oscar-corcho,Oscar Corcho,,PC Member at ISWC2012(Evaluation Track),iswc2012:track/evaluation,Universidad Politecnica de Madrid
person:oscar-corcho,Oscar Corcho,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,Universidad Politecnica de Madrid
person:oscar-corcho,Oscar Corcho,,PC Member at ISWC2012(Research Track),iswc2012:track/research,Universidad Politecnica de Madrid
person:oscar-corcho,Oscar Corcho,,Workshop Chair,workshop:ssn/2012,Universidad Politecnica de Madrid
person:oscar-corcho,Oscar Corcho,iswc2012:paper/evaluation-27,,,Universidad Politecnica de Madrid
person:oscar-corcho,Oscar Corcho,iswc2012:paper/research-27,,,Universidad Politecnica de Madrid
person:oshani-seneviratne,Oshani Seneviratne,,ISWC2012 Publicity Chair,http://data.semanticweb.org/conference/iswc/2012,MIT
person:ozgur-lutfu-ozcep,Özgür Lütfü Özcep,iswc2012:paper/research-18,,,Technical University of Hamburg
person:pablo-n-mendes,Pablo N. Mendes,,Workshop Chair,workshop:wole/2012,Free University of Berlin
person:pablo-n-mendes,Pablo N. Mendes,iswc2012:paper/inuse-51,,,Free University of Berlin
person:padmashree-ravindra,Padmashree Ravindra,,Tutorial Organizer,iswc2012:tutorial-1,North Carolina State University
person:pallavi-karanth,Pallavi Karanth,iswc2012:paper/semantic-web-challenge-open-05,,,PES Institute of Technology
person:palmonari-matteo,Palmonari Matteo,iswc2012:paper/research-01,,,University of Milano-Bicocca
person:paolo-bouquet,Paolo Bouquet,,PC Member at ISWC2012(Research Track),iswc2012:track/research,University of Trento
person:paolo-castagna,Paolo Castagna,iswc2012:paper/poster-demo-14,,,Talis
person:paolo-ciancarini,Paolo Ciancarini,iswc2012:paper/research-13,,,University of Bologna
person:paolo-ciccarese,Paolo Ciccarese,iswc2012:paper/industry-06,,,Massachusetts General Hospital
person:pascal-hitzler,Pascal Hitzler,,ISWC2012 Session Chair,iswc2012:session/inuse-06,"Kno.e.sis Center, Wright State University"
person:pascal-hitzler,Pascal Hitzler,,ISWC2012 Session Chair,iswc2012:session/research-02,"Kno.e.sis Center, Wright State University"
person:pascal-hitzler,Pascal Hitzler,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,"Kno.e.sis Center, Wright State University"
person:pascal-hitzler,Pascal Hitzler,,PC Member at ISWC2012(Poster and Demo),iswc2012:track/poster-demo,"Kno.e.sis Center, Wright State University"
person:pascal-hitzler,Pascal Hitzler,,Senior PC Member at ISWC2012(Research Track),iswc2012:track/research,"Kno.e.sis Center, Wright State University"
person:pascal-hitzler,Pascal Hitzler,,Workshop Chair,workshop:sw2022/2012,"Kno.e.sis Center, Wright State University"
person:pasquale-lops,Pasquale Lops,,Workshop Chair,workshop:sersy/2012,University of Bari
person:patrick-rodler,Patrick Rodler,iswc2012:paper/poster-demo-45,,,Alpen-Adria Universität
person:patrick-rodler,Patrick Rodler,iswc2012:paper/poster-demo-64,,,Alpen-Adria Universität
person:patrick-siehndel,Patrick Siehndel,iswc2012:paper/poster-demo-11,,,L3S Research Center
person:patrick-sinclair,Patrick Sinclair,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,BBC
person:paul-alexander,Paul Alexander,iswc2012:paper/inuse-53,,,Stanford University
person:paul-buitelaar,Paul Buitelaar,,PC Member at ISWC2012(Research Track),iswc2012:track/research,"DERI, NUI Galway"
person:paul-buitelaar,Paul Buitelaar,,Workshop Chair,workshop:msw/2012,"DERI, NUI Galway"
person:paul-groth,Paul Groth,,ISWC2012 Session Chair,iswc2012:session/research-07,VU Amsterdam
person:paul-groth,Paul Groth,,PC Member at ISWC2012(Research Track),iswc2012:track/research,VU Amsterdam
person:paul-groth,Paul Groth,,Tutorial Organizer,iswc2012:tutorial-7,VU Amsterdam
person:paulo-costa,Paulo Costa,,Workshop Chair,workshop:ursw/2012,George Mason University
person:paulo-pinheiro-da-silva,Paulo Pinheiro Da Silva,,PC Member at ISWC2012(Research Track),iswc2012:track/research,University of Texas at El Paso
person:pavel-klinov,Pavel Klinov,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,University of Ulm
person:pavel-klinov,Pavel Klinov,,PC Member at ISWC2012(Research Track),iswc2012:track/research,University of Ulm
person:pavel-klinov,Pavel Klinov,iswc2012:paper/semantic-web-challenge-open-14,,,University of Ulm
person:pavel-shvaiko,Pavel Shvaiko,,PC Member at ISWC2012(Research Track),iswc2012:track/research,"TasLab, Informatica Trentina SpA"
person:pavel-shvaiko,Pavel Shvaiko,,Workshop Chair,workshop:om/2012,"TasLab, Informatica Trentina SpA"
person:pavel-shvaiko,Pavel Shvaiko,iswc2012:paper/inuse-27,,,"TasLab, Informatica Trentina SpA"
person:pavlos-fafalios,Pavlos Fafalios,iswc2012:paper/semantic-web-challenge-open-09,,,FORTH-ICS
person:payam-barnaghi,Payam Barnaghi,,PC Member at ISWC2012(Evaluation Track),iswc2012:track/evaluation,University of Surrey
