s,personLabel,paper,roleLabel,event,listAffiliation
person:avigdor-gal,Avigdor Gal,,PC Member at ISWC2012(Research Track),iswc2012:track/research,Technion
person:axel-cyrille-ngonga-ngomo,Axel-Cyrille Ngonga Ngomo,iswc2012:paper/inuse-71,,,University of Leipzig
person:axel-cyrille-ngonga-ngomo,Axel-Cyrille Ngonga Ngomo,iswc2012:paper/research-03,,,University of Leipzig
person:axel-cyrille-ngonga-ngomo,Axel-Cyrille Ngonga Ngomo,iswc2012:paper/research-21,,,University of Leipzig
person:axel-polleres,Axel Polleres,,PC Member at ISWC2012(Poster and Demo),iswc2012:track/poster-demo,"Siemens AG Österreich; DERI, NUI Galway"
person:axel-polleres,Axel Polleres,,Senior PC Member at ISWC2012(Research Track),iswc2012:track/research,"Siemens AG Österreich; DERI, NUI Galway"
person:bastian-krayer,Bastian Krayer,iswc2012:paper/semantic-web-challenge-btc-01,,,University of Koblenz and Landau
person:bastien-rance,Bastien Rance,iswc2012:paper/semantic-web-challenge-open-02,,,National Library of Medicine
person:benjamin-grosof,Benjamin Grosof,,Tutorial Organizer,iswc2012:tutorial-2,Vulcan Inc
person:benjamin-grosof,Benjamin Grosof,,Tutorial Organizer,iswc2012:tutorial-6,Vulcan Inc
person:benoit-christophe,Benoit Christophe,,PC Member at ISWC2012(Research Track),iswc2012:track/research,Alcatel-Lucent Bell Labs France
person:bernardo-cuenca-grau,Bernardo Cuenca Grau,,PC Member at ISWC2012(Research Track),iswc2012:track/research,University of Oxford
person:bernardo-cuenca-grau,Bernardo Cuenca Grau,iswc2012:paper/research-05,,,University of Oxford
person:bernardo-magnini,Bernardo Magnini,iswc2012:paper/poster-demo-24,,,Fondazione Bruno Kessler
person:bernhard-schandl,Bernhard Schandl,,PC Member at ISWC2012(Poster and Demo),iswc2012:track/poster-demo,Gnowsis.com
person:bernhard-schandl,Bernhard Schandl,,PC Member at ISWC2012(Research Track),iswc2012:track/research,Gnowsis.com
person:bernie-innocenti,Bernie Innocenti,,Tutorial Organizer,iswc2012:tutorial-9,Sugar Labs
person:bert-van-nuffelen,Bert van Nuffelen,iswc2012:paper/inuse-51,,,Tenforce
person:bhavani-thuraisingham,Bhavani Thuraisingham,iswc2012:paper/poster-demo-14,,,University of Texas at Dallas
person:bijan-parsia,Bijan Parsia,,PC Member at ISWC2012(Research Track),iswc2012:track/research,University of Manchester
person:bijan-parsia,Bijan Parsia,iswc2012:paper/evaluation-35,,,University of Manchester
person:bijan-parsia,Bijan Parsia,iswc2012:paper/research-06,,,University of Manchester
person:bijan-parsia,Bijan Parsia,iswc2012:paper/research-35,,,University of Manchester
person:birte-glimm,Birte Glimm,,ISWC2012 Poster and Demo Chair,http://data.semanticweb.org/conference/iswc/2012,University of Ulm
person:birte-glimm,Birte Glimm,,ISWC2012 Poster and Demo Chair,iswc2012:track/poster-demo,University of Ulm
person:birte-glimm,Birte Glimm,,PC Member at ISWC2012(Research Track),iswc2012:track/research,University of Ulm
person:birte-glimm,Birte Glimm,iswc2012:paper/research-11,,,University of Ulm
person:birte-glimm,Birte Glimm,iswc2012:paper/research-34,,,University of Ulm
person:birte-glimm,Birte Glimm,iswc2012:poster-demo-proceedings,,,University of Ulm
person:blazej-bulka,Blazej Bulka,iswc2012:paper/semantic-web-challenge-open-14,,,Clark & Parsia
person:bo-fu,Bo Fu,,PC Member at ISWC2012(Research Track),iswc2012:track/research,University of Victoria
person:bojan-bozic,Bojan Bozic,iswc2012:paper/doctor-consortium-10,,,Austrian Institute of Technology
person:boris-motik,Boris Motik,,PC Member at ISWC2012(Research Track),iswc2012:track/research,University of Oxford
person:brian-kettler,Brian Kettler,,PC Member at ISWC2012(Research Track),iswc2012:track/research,Lockheed Martin
person:bruno-alves,Bruno Alves,iswc2012:paper/industry-10,,,University of Applied Sciences Western Switzerland
person:bryan-thompson,Bryan Thompson,,ISWC2012 Panellist,iswc2012:panel/big-graph-data,Systap
person:carlo-allocca,Carlo Allocca,iswc2012:paper/poster-demo-20,,,"KMi, The Open University"
person:carlo-curino,Carlo Curino,,PC Member at ISWC2012(Research Track),iswc2012:track/research,Yahoo! Research
person:carlos-buil-aranda,Carlos Buil-Aranda,iswc2012:paper/evaluation-27,,,Universidad Politecnica de Madrid
person:carlos-pedrinaci,Carlos Pedrinaci,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,"KMi, The Open University"
person:carlos-pedrinaci,Carlos Pedrinaci,iswc2012:paper/research-15,,,"KMi, The Open University"
person:carlos-viegas-damasio,Carlos Viegas Damásio,iswc2012:paper/research-20,,,Universidade Nova de Lisboa
person:caroline-barriere,Caroline Barrière,,Tutorial Organizer,iswc2012:tutorial-4,Université de Montréal
person:carsten-keßler,Carsten Keßler,,Workshop Chair,workshop:lisc/2012,University of Münster
person:carsten-lutz,Carsten Lutz,iswc2012:paper/research-16,,,University of Bremen
person:cartic-ramakrishnan,Cartic Ramakrishnan,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,"Kno.e.sis Center, Wright State University"
person:cecile-bothorel,Cecile Bothorel,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,Telecom Bretagne
person:charalambos-kontoes,Charalambos Kontoes,iswc2012:paper/semantic-web-challenge-open-17,,,National Observatory of Athens
person:charalampos-nikolaou,Charalampos Nikolaou,iswc2012:paper/poster-demo-28,,,National and Kapodistrian University of Athens
person:charalampos-nikolaou,Charalampos Nikolaou,iswc2012:paper/semantic-web-challenge-open-17,,,National and Kapodistrian University of Athens
person:charis-kontoes,Charis Kontoes,iswc2012:paper/poster-demo-28,,,National Observatory of Athens
person:chen-cheng,Chen Cheng,iswc2012:paper/poster-demo-48,,,UALR
person:chenghua-lin,Chenghua Lin,iswc2012:paper/research-15,,,"KMi, The Open University"
person:chenyang-wu,Chenyang Wu,iswc2012:paper/poster-demo-27,,,Shanghai Jiao Tong University
person:chiara-ghidini,Chiara Ghidini,iswc2012:paper/research-29,,,Fondazione Bruno Kessler
person:chito-jovellanos,Chito Jovellanos,iswc2012:paper/industry-03,,,forward look
person:chris-baillie,Chris Baillie,iswc2012:paper/doctor-consortium-02,,,University of Aberdeen
person:chris-chaulk,Chris Chaulk,iswc2012:paper/industry-11,,,EMC Corporation
person:chris-mellish,Chris Mellish,iswc2012:paper/inuse-54,,,University of Aberdeen
person:chris-mellish,Chris Mellish,iswc2012:paper/poster-demo-61,,,University of Aberdeen
person:chris-welty,Chris Welty,iswc2012:paper/inuse-26,,,IBM Research
person:chris-welty,Chris Welty,iswc2012:paper/inuse-32,,,IBM Research
person:christian-bizer-,Christian Bizer,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,Free University of Berlin
person:christian-bizer-,Christian Bizer,,PC Member at ISWC2012(Research Track),iswc2012:track/research,Free University of Berlin
person:christian-dirschl,Christian Dirschl,iswc2012:paper/inuse-51,,,Wolters Kluwer
person:christian-meilicke,Christian Meilicke,,PC Member at ISWC2012(Evaluation Track),iswc2012:track/evaluation,University of Mannheim
person:christian-schallhart,Christian Schallhart,iswc2012:paper/inuse-71,,,University of Oxford
person:christina-lantzaki,Christina Lantzaki,iswc2012:paper/poster-demo-16,,,FORTH-ICS
person:christina-lantzaki,Christina Lantzaki,iswc2012:paper/research-24,,,FORTH-ICS
person:christina-unger,Christina Unger,iswc2012:paper/evaluation-15,,,Bielefeld University
person:christina-unger,Christina Unger,iswc2012:paper/inuse-71,,,Bielefeld University
person:christophe-gueret,Christophe Guéret,,PC Member at ISWC2012(Research Track),iswc2012:track/research,VU Amsterdam
person:christopher-brewster,Christopher Brewster,,PC Member at ISWC2012(Industry Track),iswc2012:track/industry,Aston University
person:christopher-brewster,Christopher Brewster,,PC Member at ISWC2012,iswc2012:track/semantic-web-challenge,Aston University
person:christopher-matheus,Christopher Matheus,,PC Member at ISWC2012(Research Track),iswc2012:track/research,Bell Labs Research
person:christos-tryfonopoulos,Christos Tryfonopoulos,,PC Member at ISWC2012(Evaluation Track),iswc2012:track/evaluation,University of Peloponnese
person:christos-tryfonopoulos,Christos Tryfonopoulos,,PC Member at ISWC2012(Research Track),iswc2012:track/research,University of Peloponnese
person:claudia-damato,Claudia d'Amato,,ISWC2012 Worshop and Tutorial Chair,http://data.semanticweb.org/conference/iswc/2012,University of Bari
person:claudia-damato,Claudia d'Amato,,PC Member at ISWC2012(Research Track),iswc2012:track/research,University of Bari
person:claudio-gutierrez,Claudio Gutierrez,iswc2012:paper/poster-demo-34,,,Universidad de Chile
person:claudio-gutierrez,Claudio Gutierrez,iswc2012:paper/semantic-web-challenge-open-01,,,Universidad de Chile
person:claus-stadler,Claus Stadler,iswc2012:paper/inuse-51,,,University of Leipzig
person:conor-hayes,Conor Hayes,,PC Member at ISWC2012(Evaluation Track),iswc2012:track/evaluation,"DERI, NUI Galway"
person:cory-henson,Cory Henson,,Workshop Chair,workshop:ssn/2012,"Kno.e.sis Center, Wright State University"
person:cory-henson,Cory Henson,iswc2012:paper/research-26,,,"Kno.e.sis Center, Wright State University"
person:craig-knoblock,Craig Knoblock,,PC Member at ISWC2012(Research Track),iswc2012:track/research,"Information Sciences Institute, University of Southern California"
person:craig-knoblock,Craig Knoblock,iswc2012:paper/research-02,,,"Information Sciences Institute, University of Southern California"
person:craig-knoblock,Craig Knoblock,iswc2012:paper/research-28,,,"Information Sciences Institute, University of Southern California"
person:cristina-sarasua,Cristina Sarasua,iswc2012:paper/research-41,,,"AIFB, Karlsruhe Institute of Technology"
person:cynthia-chang,Cynthia Chang,iswc2012:paper/poster-demo-26,,,RPI
person:damian-gessler,Damian Gessler,iswc2012:paper/semantic-web-challenge-open-14,,,University of Arizona
person:dan-brickley,Dan Brickley,,PC Member at ISWC2012(Research Track),iswc2012:track/research,FOAF project
person:danh-le-phuoc,Danh Le Phuoc,iswc2012:paper/evaluation-10,,,"DERI, NUI Galway"
person:danh-le-phuoc,Danh Le Phuoc,iswc2012:paper/semantic-web-challenge-open-16,,,"DERI, NUI Galway"
person:daniel-bar,Daniel Bär,iswc2012:paper/evaluation-15,,,TU Darmstadt
person:daniel-gerber,Daniel Gerber,iswc2012:paper/inuse-71,,,University of Leipzig
person:daniel-gerber,Daniel Gerber,iswc2012:paper/research-21,,,University of Leipzig
person:daniel-miranker,Daniel Miranker,iswc2012:paper/poster-demo-41,,,University of Texas at Austin
person:daniel-schwabe,Daniel Schwabe,,PC Member at ISWC2012(Research Track),iswc2012:track/research,PUC-Rio
person:daniela-ferrari,Daniela Ferrari,iswc2012:paper/inuse-27,,,"Segreteria SIAT, Autonomous Province of Trento, Italy"
person:daniele-dellaglio,Daniele Dell'Aglio,iswc2012:paper/inuse-78,,,Politecnico di Milano
person:daniele-dellaglio,Daniele Dell'Aglio,iswc2012:paper/semantic-web-challenge-open-13,,,Politecnico di Milano
person:dario-cerizza,Dario Cerizza,iswc2012:paper/semantic-web-challenge-open-13,,,Politecnico di Milano
person:dave-kolas,Dave Kolas,,Workshop Chair,workshop:terra/2012,Raytheon BBN Technologies
person:dave-reynolds,Dave Reynolds,,PC Member at ISWC2012(Industry Track),iswc2012:track/industry,Epimorphics
person:dave-reynolds,Dave Reynolds,,PC Member at ISWC2012,iswc2012:track/semantic-web-challenge,Epimorphics
person:david-de-roure,David De Roure,,PC Member at ISWC2012(Research Track),iswc2012:track/research,University of Oxford
person:david-huynh,David Huynh,,ISWC2012 Poster and Demo Chair,http://data.semanticweb.org/conference/iswc/2012,Google
person:david-huynh,David Huynh,,ISWC2012 Poster and Demo Chair,iswc2012:track/poster-demo,Google
