s,personLabel,firstName,lastName,listAffiliation,affiliationLabel
person:dimitris-vrakas,Dimitris Vrakas,Dimitris,Vrakas,Aristotle University of Thessaloniki,Aristotle University of Thessaloniki
person:dimitris-zeginis,Dimitris Zeginis,Dimitris,Zeginis,Centre for Research and Technology Hellas (CERTH),Centre for Research and Technology Hellas (CERTH)
person:do-heon-jeong,Do-Heon Jeong,Do-Heon,Jeong,Korea Institute of Science and Technology Information,Korea Institute of Science and Technology Information
person:e-a-draffan,E.A. Draffan,E.A.,Draffan,University of Southampton,University of Southampton
person:edna-ruckhaus,Edna Ruckhaus,Edna,Ruckhaus,Universidad Simon Bolivar,Universidad Simon Bolivar
person:edoardo-pignotti,Edoardo Pignotti,Edoardo,Pignotti,University of Aberdeen,University of Aberdeen
person:efstratios-kontopoulos,Efstratios Kontopoulos,Efstratios,Kontopoulos,Aristotle University of Thessaloniki,Aristotle University of Thessaloniki
person:elena-cabrio,Elena Cabrio,Elena,Cabrio,INRIA,INRIA
person:elena-simperl,Elena Simperl,Elena,Simperl,"AIFB, Karlsruhe Institute of Technology","AIFB, Karlsruhe Institute of Technology"
person:elizabeth-daly,Elizabeth Daly,Elizabeth,Daly,IBM Research,IBM Research
person:emanuele-della-valle,Emanuele Della Valle,Emanuele,Della Valle,Politecnico di Milano,Politecnico di Milano
person:emily-merrill,Emily Merrill,Emily,Merrill,Massachusetts General Hospital,Massachusetts General Hospital
person:emir-munoz,Emir Muñoz,Emir,Muñoz,"DERI, NUI Galway","DERI, NUI Galway"
person:enrico-daga,Enrico Daga,Enrico,Daga,"KMi, The Open University;STLab, ISTC-CNR","KMi, The Open University"
person:enrico-daga,Enrico Daga,Enrico,Daga,"KMi, The Open University;STLab, ISTC-CNR","STLab, ISTC-CNR"
person:enrico-franconi,Enrico Franconi,Enrico,Franconi,Free University of Bozen-Bolzano,Free University of Bozen-Bolzano
person:enrico-motta,Enrico Motta,Enrico,Motta,"KMi, The Open University","KMi, The Open University"
person:eric-charton,Eric Charton,Eric,Charton,CRIM,CRIM
person:eric-goodman,Eric Goodman,Eric,Goodman,Sandia National Laboratories,Sandia National Laboratories
person:erik-mannens,Erik Mannens,Erik,Mannens,Ghent University,Ghent University
person:esko-nuutila,Esko Nuutila,Esko,Nuutila,Aalto University,Aalto University
person:esteban-zimanyi,Esteban Zimanyi,Esteban,Zimanyi,Université Libre de Bruxelles,Université Libre de Bruxelles
person:eva-blomqvist,Eva Blomqvist,Eva,Blomqvist,Linköping University,Linköping University
person:evan-wei-xiang,Evan Wei Xiang,Evan,Xiang,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology
person:evelyne-viegas,Evelyne Viegas,Evelyne,Viegas,Microsoft Research,Microsoft Research
person:evren-sirin,Evren Sirin,Evren,Sirin,Clark & Parsia,Clark & Parsia
person:fabien-duchateau,Fabien Duchateau,Fabien,Duchateau,"Universite Lyon 1, LIRIS","Universite Lyon 1, LIRIS"
person:fabien-gandon,Fabien Gandon,Fabien,Gandon,INRIA,INRIA
person:fabio-ciravegna,Fabio Ciravegna,Fabio,Ciravegna,University of Sheffield,University of Sheffield
person:fabrice-lacroix,Fabrice Lacroix,Fabrice,Lacroix,Antidot,Antidot
person:falco-cescolini,Falco Cescolini,Falco,Cescolini,"Siemens AG, Corporate Technology","Siemens AG, Corporate Technology"
person:fausto-guinchiliglia,Fausto Guinchiliglia,Fausto,Guinchiliglia,University of Trento,University of Trento
person:federico-michele-facca,Federico Michele Facca,Federico Michele,Facca,Create-Net,Create-Net
person:federico-piccinini,Federico Piccinini,Federico,Piccinini,Politecnico di Milano,Politecnico di Milano
person:feiyu-xu,Feiyu Xu,Feiyu,Xu,DFKI,DFKI
person:felix-sasaki,Felix Sasaki,Felix,Sasaki,DFKI,DFKI
person:feng-cao,Feng Cao,Feng,Cao,IBM China Research Laboratory,IBM China Research Laboratory
person:fernando-bobillo,Fernando Bobillo,Fernando,Bobillo,Universidad de Zaragoza,Universidad de Zaragoza
person:feroz-farazi,Feroz Farazi,Feroz,Farazi,University of Trento,University of Trento
person:fiona-mcneill,Fiona McNeill,Fiona,McNeill,University of Edinburgh,University of Edinburgh
person:fouad-zablith,Fouad Zablith,Fouad,Zablith,"KMi, The Open University","KMi, The Open University"
person:francesco-draicchio,Francesco Draicchio,Francesco,Draicchio,"STLab, ISTC-CNR","STLab, ISTC-CNR"
person:francesco-osborne,Francesco Osborne,Francesco,Osborne,University of Turin,University of Turin
person:francois-scharffe,Francois Scharffe,Francois,Scharffe,"LIRMM, University of Montpellier","LIRMM, University of Montpellier"
person:francoise-baude,Francoise Baude,Francoise,Baude,INRIA,INRIA
person:frank-van-harmelen,Frank van Harmelen,Frank,van Harmelen,VU Amsterdam,VU Amsterdam
person:frantisek-simancik,Frantisek Simancik,Frantisek,Simancik,University of Oxford,University of Oxford
person:freddy-lecue,Freddy Lecue,Freddy,Lecue,IBM Research,IBM Research
person:gabriela-montoya,Gabriela Montoya,Gabriela,Montoya,Universidad Simon Bolivar,Universidad Simon Bolivar
person:gary-wills,Gary Wills,Gary,Wills,University of Southampton,University of Southampton
person:geert-jan-houben,Geert-Jan Houben,Geert-Jan,Houben,Delft University of Technology,Delft University of Technology
person:george-garbis,George Garbis,George,Garbis,National and Kapodistrian University of Athens,National and Kapodistrian University of Athens
person:gerd-groner,Gerd Gröner,Gerd,Gröner,University of Koblenz and Landau,University of Koblenz and Landau
person:gerd-zechmeister,Gerd Zechmeister,Gerd,Zechmeister,Semantic Web Company GmbH,Semantic Web Company GmbH
person:gerhard-friedrich,Gerhard Friedrich,Gerhard,Friedrich,UNI Klagenfurt,UNI Klagenfurt
person:gianluca-correndo,Gianluca Correndo,Gianluca,Correndo,University of Southampton,University of Southampton
person:gianluca-demartini,Gianluca Demartini,Gianluca,Demartini,University of Fribourg,University of Fribourg
person:giorgos-flouris,Giorgos Flouris,Giorgos,Flouris,FORTH-ICS,FORTH-ICS
person:giorgos-stoilos,Giorgos Stoilos,Giorgos,Stoilos,National Technical University of Athens,National Technical University of Athens
person:giovanni-grasso,Giovanni Grasso,Giovanni,Grasso,University of Oxford,University of Oxford
person:giovanni-semeraro,Giovanni Semeraro,Giovanni,Semeraro,University of Bari,University of Bari
person:giovanni-tummarello,Giovanni Tummarello,Giovanni,Tummarello,"DERI, NUI Galway","DERI, NUI Galway"
person:giulia-masotti,Giulia Masotti,Giulia,Masotti,Sapienza Università di Roma,Sapienza Università di Roma
person:giuliana-ucelli,Giuliana Ucelli,Giuliana,Ucelli,"Segreteria SIAT, Autonomous Province of Trento, Italy","Segreteria SIAT, Autonomous Province of Trento, Italy"
person:giuseppe-pirro,Giuseppe Pirró,Giuseppe,Pirró,Free University of Bozen-Bolzano,Free University of Bozen-Bolzano
person:giuseppe-rizzo,Giuseppe Rizzo,Giuseppe,Rizzo,EURECOM,EURECOM
person:giusy-di-lorenzo,Giusy Di Lorenzo,Giusy,Di Lorenzo,IBM Research,IBM Research
person:grigoris-antoniou,Grigoris Antoniou,Grigoris,Antoniou,FORTH-ICS,FORTH-ICS
person:gueret-christophe,Guéret Christophe,Guéret,Christophe,VU Amsterdam,VU Amsterdam
person:guilin-qi,Guilin Qi,Guilin,Qi,Southeast University,Southeast University
person:guillermo-palma,Guillermo Palma,Guillermo,Palma,Universidad Simon Bolivar,Universidad Simon Bolivar
person:guus-schreiber,Guus Schreiber,Guus,Schreiber,VU Amsterdam,VU Amsterdam
person:hai-zhuge,Hai Zhuge,Hai,Zhuge,Chinese Academy of Sciences,Chinese Academy of Sciences
person:hamdi-aloulou,Hamdi Aloulou,Hamdi,Aloulou,"Image & Pervasive Access Lab (IPAL), UMI CNRS","Image & Pervasive Access Lab (IPAL), UMI CNRS"
person:han-wang,Han Wang,Han,Wang,RPI,RPI
person:hanmin-jung,Hanmin Jung,Hanmin,Jung,Korea Institute of Science and Technology Information,Korea Institute of Science and Technology Information
person:hans-uszkoreit,Hans Uszkoreit,Hans,Uszkoreit,DFKI,DFKI
person:hans-vasquez-gross,Hans Vasquez-Gross,Hans,Vasquez-Gross,"University of California, Davis","University of California, Davis"
person:haofen-wang,Haofen Wang,Haofen,Wang,Shanghai Jiao Tong University,Shanghai Jiao Tong University
person:harald-sack,Harald Sack,Harald,Sack,Hasso Plattner Institute,Hasso Plattner Institute
person:harith-alani,Harith Alani,Harith,Alani,"KMi, The Open University","KMi, The Open University"
person:harry-halpin,Harry Halpin,Harry,Halpin,University of Edinburgh,University of Edinburgh
person:hassan-saif,Hassan Saif,Hassan,Saif,"KMi, The Open University","KMi, The Open University"
person:hector-perez-urbina,Héctor Pérez-Urbina,Héctor,Pérez-Urbina,Clark & Parsia,Clark & Parsia
person:heiko-paulheim,Heiko Paulheim,Heiko,Paulheim,TU Darmstadt,TU Darmstadt
person:heiner-stuckenschmidt,Heiner Stuckenschmidt,Heiner,Stuckenschmidt,University of Mannheim,University of Mannheim
person:hima-yalamanchili,Hima Yalamanchili,Hima,Yalamanchili,"Kno.e.sis Center, Wright State University","Kno.e.sis Center, Wright State University"
person:hiroko-kou,Hiroko Kou,Hiroko,Kou,"I.S.I.R., Osaka University","I.S.I.R., Osaka University"
person:hiroyuki-toda,Hiroyuki Toda,Hiroyuki,Toda,NTT,NTT
person:hoan-nguyen-mau-quoc,Hoan Nguyen Mau Quoc,Hoan,Nguyen Mau Quoc,"DERI, NUI Galway","DERI, NUI Galway"
person:holger-wache,Holger Wache,Holger,Wache,University of Applied Sciences and Arts Northwestern Switzerland,University of Applied Sciences and Arts Northwestern Switzerland
person:hong-li,Hong Li,Hong,Li,DFKI,DFKI
person:houda-khrouf,Houda Khrouf,Houda,Khrouf,EURECOM,EURECOM
person:huajun-chen,Huajun Chen,Huajun,Chen,Zhejiang University,Zhejiang University
person:hugh-glaser,Hugh Glaser,Hugh,Glaser,University of Southampton,University of Southampton
person:hugh-williams,Hugh Williams,Hugh,Williams,OpenLink,OpenLink
person:ian-davis,Ian Davis,Ian,Davis,self,self
person:ian-dickinson,Ian Dickinson,Ian,Dickinson,Epimorphics,Epimorphics
person:ian-horrocks,Ian Horrocks,Ian,Horrocks,University of Oxford,University of Oxford
person:ian-millard,Ian Millard,Ian,Millard,University of Southampton,University of Southampton
person:ilianna-kollia,Ilianna Kollia,Ilianna,Kollia,National Technical University of Athens,National Technical University of Athens
person:ioannis-papoutsis,Ioannis Papoutsis,Ioannis,Papoutsis,National Observatory of Athens,National Observatory of Athens
person:ioannis-vlahavas,Ioannis Vlahavas,Ioannis,Vlahavas,Aristotle University of Thessaloniki,Aristotle University of Thessaloniki
person:irene-celino,Irene Celino,Irene,Celino,Politecnico di Milano,Politecnico di Milano
person:isabel-cruz,Isabel Cruz,Isabel,Cruz,University of Illinois at Chicago,University of Illinois at Chicago
person:ivan-cantador,Ivan Cantador,Ivan,Cantador,Universidad Autonoma de Madrid,Universidad Autonoma de Madrid
person:ivan-herman,Ivan Herman,Ivan,Herman,W3C,W3C
person:j-william-murdock,J William Murdock,J William,Murdock,IBM Research,IBM Research
person:jacco-van-ossenbruggen,Jacco Van Ossenbruggen,Jacco,Van Ossenbruggen,Centrum Wiskunde & Informatica (CWI),Centrum Wiskunde & Informatica (CWI)
person:jacopo-urbani,Jacopo Urbani,Jacopo,Urbani,VU Amsterdam,VU Amsterdam
person:jagannathan-srinivasan,Jagannathan Srinivasan,Jagannathan,Srinivasan,Oracle,Oracle
person:james-fan,James Fan,James,Fan,IBM Research,IBM Research
person:james-michaelis,James Michaelis,James,Michaelis,RPI,RPI
person:james-pustejovsky,James Pustejovsky,James,Pustejovsky,Brandeis University,Brandeis University
person:jamie-taylor,Jamie Taylor,Jamie,Taylor,Metaweb,Metaweb
person:jan-michelfeit,Jan Michelfeit,Jan,Michelfeit,Charles University in Prague,Charles University in Prague
person:jan-vitek,Jan Vitek,Jan,Vitek,Purdue University,Purdue University
person:jane-hunter,Jane Hunter,Jane,Hunter,University of Queensland,University of Queensland
person:jans-aasman,Jans Aasman,Jans,Aasman,Franz,Franz
person:jaroslav-kuchar,Jaroslav Kuchar,Jaroslav,Kuchar,Czech Technical University in Prague,Czech Technical University in Prague
person:jay-banerjee,Jay Banerjee,Jay,Banerjee,Oracle,Oracle
