s,personLabel,firstName,lastName,listAffiliation,affiliationLabel
person:sherif-sakr,Sherif Sakr,Sherif,Sakr,University of New South Wales,University of New South Wales
person:shilpa-arora,Shilpa Arora,Shilpa,Arora,CMU,CMU
person:shonali-krishnaswamy,Shonali Krishnaswamy,Shonali,Krishnaswamy,Monash University,Monash University
person:shu-rong,Shu Rong,Shu,Rong,Shanghai Jiao Tong University,Shanghai Jiao Tong University
person:siegfried-handschuh,Siegfried Handschuh,Siegfried,Handschuh,"DERI, NUI Galway","DERI, NUI Galway"
person:simone-contessa,Simone Contessa,Simone,Contessa,Politecnico di Milano,Politecnico di Milano
person:songyun-duan,Songyun Duan,Songyun,Duan,IBM Research,IBM Research
person:sonia-bergamaschi,Sonia Bergamaschi,Sonia,Bergamaschi,University of Modena and Reggio Emilia,University of Modena and Reggio Emilia
person:soren-auer,Sören Auer,Sören,Auer,TU Chemnitz,TU Chemnitz
person:souripriya-das,Souripriya Das,Souripriya,Das,Oracle,Oracle
person:spiros-skiadopoulos,Spiros Skiadopoulos,Spiros,Skiadopoulos,University of Peloponnese,University of Peloponnese
person:spyros-kotoulas,Spyros Kotoulas,Spyros,Kotoulas,IBM Research,IBM Research
person:stefan-decker,Stefan Decker,Stefan,Decker,"DERI, NUI Galway","DERI, NUI Galway"
person:stefan-dietze,Stefan Dietze,Stefan,Dietze,L3S Research Center,L3S Research Center
person:stefan-mirea,Stefan Mirea,Stefan,Mirea,Jacobs University,Jacobs University
person:stefan-schlobach,Stefan Schlobach,Stefan,Schlobach,VU Amsterdam,VU Amsterdam
person:stefano-fumeo,Stefano Fumeo,Stefano,Fumeo,Politecnico di Milano,Politecnico di Milano
person:steffen-staab,Steffen Staab,Steffen,Staab,University of Koblenz and Landau,University of Koblenz and Landau
person:steffen-stadtmuller,Steffen Stadtmüller,Steffen,Stadtmüller,"AIFB, Karlsruhe Institute of Technology","AIFB, Karlsruhe Institute of Technology"
person:stephan-grimm,Stephan Grimm,Stephan,Grimm,"Siemens AG, Corporate Technology","Siemens AG, Corporate Technology"
person:stephane-corlosquet,Stéphane Corlosquet,Stéphane,Corlosquet,Massachusetts General Hospital,Massachusetts General Hospital
person:steve-harris,Steve Harris,Steve,Harris,Garlik,Garlik
person:steven-jennings,Steven Jennings,Steven,Jennings,UALR,UALR
person:stuart-brown,Stuart Brown,Stuart,Brown,"Communications, The Open University","Communications, The Open University"
person:stuart-wrigley,Stuart Wrigley,Stuart,Wrigley,University of Sheffield,University of Sheffield
person:sudeshna-das,Sudeshna Das,Sudeshna,Das,Massachusetts General Hospital,Massachusetts General Hospital
person:szymon-klarman,Szymon Klarman,Szymon,Klarman,VU Amsterdam,VU Amsterdam
person:takahiro-kawamura,Takahiro Kawamura,Takahiro,Kawamura,Toshiba,Toshiba
person:takahisa-fujino,Takahisa Fujino,Takahisa,Fujino,Shizuoka University,Shizuoka University
person:takeshi-imai,Takeshi Imai,Takeshi,Imai,University of Tokyo,University of Tokyo
person:tania-tudorache,Tania Tudorache,Tania,Tudorache,Stanford University,Stanford University
person:tejaswini-pendurthi,Tejaswini Pendurthi,Tejaswini,Pendurthi,UALR,UALR
person:thanh-tran,Thanh Tran,Thanh,Tran,"AIFB, Karlsruhe Institute of Technology","AIFB, Karlsruhe Institute of Technology"
person:thanos-g-stavropoulos,Thanos G. Stavropoulos,Thanos G.,Stavropoulos,Aristotle University of Thessaloniki,Aristotle University of Thessaloniki
person:themistoklis-herekakis,Themistoklis Herekakis,Themistoklis,Herekakis,National Observatory of Athens,National Observatory of Athens
person:thetida-zetta,Thetida Zetta,Thetida,Zetta,Aristotle University of Thessaloniki;Cardiff University,Aristotle University of Thessaloniki
person:thetida-zetta,Thetida Zetta,Thetida,Zetta,Aristotle University of Thessaloniki;Cardiff University,Cardiff University
person:thibaut-tiberghien,Thibaut Tiberghien,Thibaut,Tiberghien,"Image & Pervasive Access Lab (IPAL), UMI CNRS","Image & Pervasive Access Lab (IPAL), UMI CNRS"
person:thierry-declerck,Thierry Declerck,Thierry,Declerck,DFKI,DFKI
person:thomas-bosch,Thomas Bosch,Thomas,Bosch,GESIS - Leibniz Institute for the Social Sciences,GESIS - Leibniz Institute for the Social Sciences
person:thomas-bouttaz,Thomas Bouttaz,Thomas,Bouttaz,University of Aberdeen,University of Aberdeen
person:thomas-eiter,Thomas Eiter,Thomas,Eiter,Vienna University of Technology,Vienna University of Technology
person:thomas-gottron,Thomas Gottron,Thomas,Gottron,University of Koblenz and Landau,University of Koblenz and Landau
person:thomas-hubauer,Thomas Hubauer,Thomas,Hubauer,"Siemens AG, Corporate Technology","Siemens AG, Corporate Technology"
person:thomas-krennwallner,Thomas Krennwallner,Thomas,Krennwallner,Vienna University of Technology,Vienna University of Technology
person:thomas-lukasiewicz,Thomas Lukasiewicz,Thomas,Lukasiewicz,University of Oxford,University of Oxford
person:thomas-malone,Thomas Malone,Thomas,Malone,MIT Sloan School of Management,MIT Sloan School of Management
person:thomas-rindflesch,Thomas Rindflesch,Thomas,Rindflesch,National Library of Medicine,National Library of Medicine
person:thomas-schandl,Thomas Schandl,Thomas,Schandl,Semantic Web Company GmbH,Semantic Web Company GmbH
person:thomas-scharrenbach,Thomas Scharrenbach,Thomas,Scharrenbach,University of Zurich,University of Zurich
person:thomas-steiner,Thomas Steiner,Thomas,Steiner,Google,Google
person:thorsten-krueger,Thorsten Krueger,Thorsten,Krueger,Siemens,Siemens
person:thorsten-liebig,Thorsten Liebig,Thorsten,Liebig,Derivo,Derivo
person:tim-berners-lee,Tim Berners-Lee,Tim,Berners-Lee,W3C,W3C
person:tim-clark,Tim Clark,Tim,Clark,Massachusetts General Hospital,Massachusetts General Hospital
person:tim-finin,Tim Finin,Tim,Finin,University of Maryland Baltimore County,University of Maryland Baltimore County
person:tim-furche,Tim Furche,Tim,Furche,University of Oxford,University of Oxford
person:timothy-lebo,Timothy Lebo,Timothy,Lebo,RPI,RPI
person:tobias-schuchert,Tobias Schuchert,Tobias,Schuchert,Fraunhofer,Fraunhofer
person:todd-minning,Todd Minning,Todd,Minning,University of Georgia,University of Georgia
person:tom-de-nies,Tom De Nies,Tom,De Nies,Ghent University,Ghent University
person:tom-heath,Tom Heath,Tom,Heath,Talis,Talis
person:tomas-vitvar,Tomas Vitvar,Tomas,Vitvar,Czech Technical University in Prague,Czech Technical University in Prague
person:toma-knap,Tomá Knap,Tomá,Knap,Charles University in Prague,Charles University in Prague
person:tomi-kauppinen,Tomi Kauppinen,Tomi,Kauppinen,University of Münster,University of Münster
person:tommaso-di-noia,Tommaso Di Noia,Tommaso,Di Noia,Technical University of Bari,Technical University of Bari
person:toshio-uchiyama,Toshio Uchiyama,Toshio,Uchiyama,NTT,NTT
person:trent-schmidt,Trent Schmidt,Trent,Schmidt,UALR,UALR
person:trevor-collins,Trevor Collins,Trevor,Collins,"KMi, The Open University","KMi, The Open University"
person:trond-aalberg,Trond Aalberg,Trond,Aalberg,Norwegian University of Science and Technology,Norwegian University of Science and Technology
person:tudor-groza,Tudor Groza,Tudor,Groza,University of Queensland,University of Queensland
person:ulrike-sattler,Ulrike Sattler,Ulrike,Sattler,University of Manchester,University of Manchester
person:umberto-straccia,Umberto Straccia,Umberto,Straccia,ISTI-CNR,ISTI-CNR
person:vaibhav-khadilkar,Vaibhav Khadilkar,Vaibhav,Khadilkar,University of Texas at Dallas,University of Texas at Dallas
person:valentina-maccatrozzo,Valentina Maccatrozzo,Valentina,Maccatrozzo,VU Amsterdam,VU Amsterdam
person:valentina-presutti,Valentina Presutti,Valentina,Presutti,"STLab, ISTC-CNR","STLab, ISTC-CNR"
person:valentina-tamma,Valentina Tamma,Valentina,Tamma,University of Liverpool,University of Liverpool
person:valeria-fionda,Valeria Fionda,Valeria,Fionda,Free University of Bozen-Bolzano,Free University of Bozen-Bolzano
person:valerie-issarny,Valerie Issarny,Valerie,Issarny,INRIA,INRIA
person:vanessa-lopez,Vanessa Lopez,Vanessa,Lopez,IBM Research,IBM Research
person:vasant-honavar,Vasant Honavar,Vasant,Honavar,Iowa State University,Iowa State University
person:vassilis-christophides,Vassilis Christophides,Vassilis,Christophides,FORTH-ICS,FORTH-ICS
person:veli-bicer,Veli Bicer,Veli,Bicer,IBM Research,IBM Research
person:venkat-krishnamurthy,Venkat Krishnamurthy,Venkat,Krishnamurthy,YarcData,YarcData
person:veronica-rizzi,Veronica Rizzi,Veronica,Rizzi,University of Trento,University of Trento
person:victor-de-boer,Victor de Boer,Victor,de Boer,VU Amsterdam,VU Amsterdam
person:viktor-prasanna,Viktor Prasanna,Viktor,Prasanna,University of Southern California,University of Southern California
person:vinay-chaudhri,Vinay Chaudhri,Vinay,Chaudhri,SRI International,SRI International
person:vincenzo-maltese,Vincenzo Maltese,Vincenzo,Maltese,University of Trento,University of Trento
person:vinh-nguyen,Vinh Nguyen,Vinh,Nguyen,"Kno.e.sis Center, Wright State University","Kno.e.sis Center, Wright State University"
person:vit-novacek,Vit Novacek,Vit,Novacek,"DERI, NUI Galway","DERI, NUI Galway"
person:vladimir-mikhailov,Vladimir Mikhailov,Vladimir,Mikhailov,Cisco,Cisco
person:volker-haarslev,Volker Haarslev,Volker,Haarslev,Concordia University,Concordia University
person:volker-tresp,Volker Tresp,Volker,Tresp,Ludwig Maximilians University of Munich; Siemens,Ludwig Maximilians University of Munich
person:volker-tresp,Volker Tresp,Volker,Tresp,Ludwig Maximilians University of Munich; Siemens,Siemens
person:vuk-milicic,Vuk Milicic,Vuk,Milicic,EURECOM,EURECOM
person:walter-bender,Walter Bender,Walter,Bender,Sugar Labs,Sugar Labs
person:wei-hu,Wei Hu,Wei,Hu,Nanjing University,Nanjing University
person:weinan-zhang,Weinan Zhang,Weinan,Zhang,Shanghai Jiao Tong University,Shanghai Jiao Tong University
person:willem-robert-van-hage,Willem Robert Van Hage,Willem Robert,Van Hage,VU Amsterdam,VU Amsterdam
person:william-hogan,William Hogan,William,Hogan,UAMS,UAMS
person:wim-peters,Wim Peters,Wim,Peters,University of Sheffield,University of Sheffield
person:wolf-siberski,Wolf Siberski,Wolf,Siberski,L3S Research Center; University of Hannover,L3S Research Center
person:wolf-siberski,Wolf Siberski,Wolf,Siberski,L3S Research Center; University of Hannover,University of Hannover
person:wolfgang-nejdl,Wolfgang Nejdl,Wolfgang,Nejdl,L3S Research Center; University of Hannover,L3S Research Center
person:wolfgang-nejdl,Wolfgang Nejdl,Wolfgang,Nejdl,L3S Research Center; University of Hannover,University of Hannover
person:xing-niu,Xing Niu,Xing,Niu,Shanghai Jiao Tong University,Shanghai Jiao Tong University
person:xingjian-zhang,Xingjian Zhang,Xingjian,Zhang,Lehigh University,Lehigh University
person:yan-kang,Yan Kang,Yan,Kang,University of Maryland,University of Maryland
person:yannis-kalfoglou,Yannis Kalfoglou,Yannis,Kalfoglou,self,self
person:yannis-tzitzikas,Yannis Tzitzikas,Yannis,Tzitzikas,University of Crete; FORTH-ICS,FORTH-ICS
person:yannis-tzitzikas,Yannis Tzitzikas,Yannis,Tzitzikas,University of Crete; FORTH-ICS,University of Crete
person:yasuhiro-fujiwara,Yasuhiro Fujiwara,Yasuhiro,Fujiwara,NTT,NTT
person:ying-zhang,Ying Zhang,Ying,Zhang,Centrum Wiskunde & Informatica (CWI),Centrum Wiskunde & Informatica (CWI)
person:yogesh-simmhan,Yogesh Simmhan,Yogesh,Simmhan,University of Southern California,University of Southern California
person:yohei-murakami,Yohei Murakami,Yohei,Murakami,NICT,NICT
person:yong-bin-kang,Yong-Bin Kang,Yong-Bin,Kang,Monash University,Monash University
person:yong-yu,Yong Yu,Yong,Yu,Shanghai Jiao Tong University,Shanghai Jiao Tong University
person:yongchun-xu,Yongchun Xu,Yongchun,Xu,FZI Research Center for Information Technology,FZI Research Center for Information Technology
person:york-sure-vetter,York Sure-Vetter,York,Sure-Vetter,GESIS - Leibniz Institute for the Social Sciences; University of Koblenz and Landau,GESIS - Leibniz Institute for the Social Sciences
person:york-sure-vetter,York Sure-Vetter,York,Sure-Vetter,GESIS - Leibniz Institute for the Social Sciences; University of Koblenz and Landau,University of Koblenz and Landau
person:yuan-fang-li,Yuan-Fang Li,Yuan-Fang,Li,Monash University,Monash University
person:yuan-ni,Yuan Ni,Yuan,Ni,IBM China Research Laboratory,IBM China Research Laboratory
person:yue-ma,Yue Ma,Yue,Ma,LIPN - UMR 7030 Universit Paris 13 - CNRS,LIPN - UMR 7030 Universit Paris 13 - CNRS
person:yuki-yamagata,Yuki Yamagata,Yuki,Yamagata,"I.S.I.R., Osaka University","I.S.I.R., Osaka University"
person:yulan-he,Yulan He,Yulan,He,"KMi, The Open University","KMi, The Open University"
person:yunjia-li,Yunjia Li,Yunjia,Li,University of Southampton,University of Southampton
person:yutaka-matsuo,Yutaka Matsuo,Yutaka,Matsuo,University of Tokyo,University of Tokyo
person:yuzhong-qu,Yuzhong Qu,Yuzhong,Qu,Nanjing University,Nanjing University
person:yves-raimond,Yves Raimond,Yves,Raimond,BBC,BBC
person:zachary-daniels,Zachary Daniels,Zachary,Daniels,Lehigh University,Lehigh University
person:zhe-wu,Zhe Wu,Zhe,Wu,Oracle,Oracle
