domain,p,range,cnt
rdf:Seq,rdf:_7,foaf:Person,15
rdf:Seq,rdf:_8,foaf:Person,12
rdf:Seq,rdf:_9,foaf:Person,9
rdf:Seq,rdf:type,,155
foaf:Organization,rdf:type,,264
foaf:Organization,rdfs:label,,264
foaf:Organization,foaf:member,foaf:Person,683
foaf:Person,swc:holdsRole,swc:Chair,169
foaf:Person,swc:holdsRole,swc:KeynoteSpeaker,1
foaf:Person,swc:holdsRole,swc:Mediator,1
foaf:Person,swc:holdsRole,swc:Panellist,5
foaf:Person,swc:holdsRole,swc:ProgrammeCommitteeMember,299
foaf:Person,swrc:affiliation,foaf:Organization,683
foaf:Person,swrc:bio,,9
foaf:Person,swrc:listAffiliation,,673
foaf:Person,rdf:type,,673
foaf:Person,rdfs:label,,673
foaf:Person,foaf:firstName,,673
foaf:Person,foaf:homepage,,194
foaf:Person,foaf:made,swc:Proceedings,18
foaf:Person,foaf:made,swrc:InProceedings,549
foaf:Person,foaf:mbox_sha1sum,,614
foaf:Person,foaf:surname,,673
